AAA	Ansett Australia - Australia	ANSETT
UDA	Psudiklat Perhubungan Udara/PLP - Indonesia	UDARA
UDC	DonbassAero - Ukraine	DONBASS AERO
UDD	Air Company Donbass Airlines - Ukraine	DONBASS
UDN	Dniproavia - Ukraine	DNIEPRO
UEA	United Eagle Airlines - China	UNITED EAGLE
UED	Air LA - United States	AIR L-A
UEJ	Jetcorp - United States	JETCORP
UES	Ues-Avia Aircompany - Ukraine	AVIASYSTEM
UFA	State Flight Academy of Ukraine - Ukraine	FLIGHT ACADEMY
UFL	Unifly - Equatorial Guinea	UNIFLY
UFR	United Africa Airline (Liberia), Inc. - Liberia	UNITED AFRICA
UFS	UFS - United States	FEEDER FLIGHT
UGA	Uganda Airlines Corporation - Uganda	UGANDA
UGB	Meridiana Africa Airlines - UG	UGAWINGS
UGC	Urgemer Canarias - Spain	URGEMER
UGL	Inter-Island Air - United States	UGLY VAN
UGN	Yuzhnaya Aircompany - Kazakhstan	PLUTON
UGP	Shar Ink - Russia	SHARINK
UGX	East African - Uganda	CRANE
UHL	Ukrainian Helicopters - Ukraine	UKRAINE COPTERS
UHS	Ulyanovsk Higher Civil Aviation School - Russia	PILOT AIR
UIA	Uni Airways Corp - TW	GLORY
UIL	United International Airlines - RS	UNITED INTERNATIONAL AIRLINES
UIR	Ukrair, Aviacompany Ltd. - Ukraine	UKRAIR
UJR	Universal Jet Rental de Mexico - Mexico	UNIVERSAL JET
UJS	Eurojet Service - RU	EUROJET SERVICE
UJT	Universal Jet Aviation - United States	UNI-JET
UKA	Buzzaway Limited - United Kingdom	UKAY
UKC	UK World Cargo - United Kingdom	SAMSON
UKD	UK Direct Airways - United Kingdom	UNICORN
UKI	UK International Airlines - United Kingdom	KHALIQ
UKL	Ukraine Air Alliance - Ukraine	UKRAINE ALLIANCE
UKM	UM Airlines - Ukraine	UKRAINE MEDITERRANEE
UKN	Ukraine Air Enterprise - Ukraine	ENTERPRISE UKRAINE
UKO	Naftex Bulgaria Holding - Bulgaria	NAFTEX BULGARIA
UKP	United Kingdom Home Office - United Kingdom	POLICE
UKR	Air Ukraine - Ukraine	AIR UKRAINE
UKS	UKSun - United Kingdom	SUNJET
UKT	Atlantic Bridge Aviation Ltd. - United Kingdom	CLOUD
UKU	Second Sverdlovsk Air Enterprise - Russia	PYSHMA
UKV	fly uk virtual airways - United Kingdom	SKYWAYS
UKW	Lviv Airlines - Ukraine	UKRAINE WEST
UKZ	Zoom Airlines - GB	UNKNOWN
ULA	Zuliana de Aviacion .C.A. - Venezuela	ZULIANA
ULB	Ulba - Kazakhstan	USKAM
ULC	Airlanka Cargo Limited - Sri Lanka	AIRLANKA CARGO
ULS	Carroll Air Service - United States	ULSTER
ULT	Ultrair - United States	ULTRAIR
UMA	Lineas Aereas del Humaya - Mexico	HUMAYA
UMB	Air Umbria - Italy	AIR UMBRIA
UMK	Yuzhmashavia - Ukraine	YUZMASH
UMS	Unitemp-M - Russia	TOPAZ
UNA	Asia United Business Aviation - CN	UNITED ASIA
UNC	Uni-Fly - Denmark	UNICOPTER
UND	Atuneros Unidos de California - Mexico	ATUNEROS UNIDOS
UNE	Aerolineas Universal S.A. - Colombia	AEROUNE
UNF	Union Flights - United States	UNION FLIGHTS
UNI	union	union
UNJ	Universal Jet - Spain	PROJET
UNO	United Nations Organization -	UNITED NATIONS
UNR	Rivne Universal Avia - Ukraine	RIVNE UNIVERSAL
UNS	Unsped Paket Servisi - Turkey	UNSPED
UNT	Servicios Aereos Universitarios - Mexico	UNIVERSITARIO
UNU	Unifly Servizi Aerei - Italy	UNIEURO
UNV	Ukraine Universal - Ukraine	UKRAINE UNIVERSAL
UNX	Unex - Universal Express Linhas Aereas Ltda.	UNEX
UNY	Lund University School of Aviation - Sweden	UNIVERSITY
UPA	Air Foyle - United Kingdom	FOYLE
UPL	Ukrainian Pilot School - Ukraine	PILOT SCHOOL
UPS	United Parcel Service - United States	UPS
URA	Aircompany Rosavia - Ukraine	ROSAVIA
URF	Executive Flight Services - Malta	EXECUTIVE EXPRESS
URG	Air Urga - Ukraine	URGA
URJ	Star Air - Pakistan	STARAV
URK	Turkestan - Kazakhstan	DJUMA
URN	Turan Air - Azerbaijan	TURAN
URP	ARP 410 Airlines - Ukraine	AIR-ARP
URR	Aurora Airlines - Slovenia	AIR AURORA
URT	Avia-Urartu - Armenia	URARTU AIR
URV	Uraiavia - Russia	URAI
URY	Century Aviation - Mexico	CENTURY AVIA
USA	US Airways - United States	U S AIR
USB	Tusheti - Georgia	TUSHETI
USC	US Check Airlines - United States	STAR CHECK
USF	USAfrica Airways - United States	AFRICA EXPRESS
USH	U.S. Helicopter Corporation - United States	US-HELI
USJ	US Jet - United States	USJET
USK	Skif-Air - Ukraine	SKIF-AIR
USN	Smarkand Aero Servise - Uzbekistan	SAMAS
UST	Austro Aereo - Ecuador	AUSTRO AEREO
USX	US Express - United States	AIR EXPRESS
UTA	UTair Aviation - Russia	UTAIR
UTG	UTAGE - Equatorial Guinea	UTAGE
UTL	Aviatia Utilitara SA - Romania	AV UTIL
UTM	TAPC Aviatrans Aircompany - Uzbekistan	AVIATAPS
UTN	Trans-Ulgii - Mongolia	TRANS-ULGII
UTR	Utair South Africa - South Africa	AIRUT
UTS	Ukrainian State Air Traffic Service Enterprise - Ukraine	AIRRUH
UTT	Transarabian Transportation Services - Uganda	ARABIAN TRANSPORT
UTU	Urartu-Air - Armenia	UNKNOWN
UTX	Avfinity - United States	UNKNOWN
UTY	Alliance Airlines - Australia	UNITY
UVA	Universal Airways - United States	UNIVERSAL
UVC	Unity Virtual Aviation Community - USA	UNITY
UVG	Universal Airlines - Guyana	GUYANA JET
UVM	Uvavemex - Mexico	UVAVEMEX
UVN	United Aviation - Kuwait	UNITED AVIATION
UVS	Air Universal - Sierra Leone	UNI-LEONE
UVT	Auvia Air - Indonesia	AUVIA
UYA	Flight Alaska Inc, d/b/a Yute Air Alaska, Inc. - United Stat	YUTE AIR
UYC	Cameroon Airlines - Cameroon	CAM-AIR
UZA	Constanta Airline - Ukraine	CONSTANTA
UZB	Uzbekistan Airways - Uzbekistan	UZBEK
UZH	Yuzhnoye State Office - Ukraine	YUZHNOE
UZL	Uzavialeasing - Uzbekistan	UZAVIAL
UZS	Samarkand Airways - Uzbekistan	SOGDIANA
VAA	Virtuel Air Alsace - France	VIRTUEL AIR ALSACE
VAB	Airtrans Ltd - Russia	UNKNOWN
VAC	Vacationair - Canada	VACATIONAIR
VAD	Aero Taxi Los Valles - Spain	VALLES
VAE	Air Explorer - Spain	AIR EXPLORER
VAG	Vega - Kazakhstan	SEGA
VAI	Avalair - Serbia	AIR AVALAIR
VAL	Voyageur Airways - Canada	VOYAGEUR
VAM	Ameravia - Uruguay	AMERAVIA
VAN	Caravan Air - Mauritania	CAMEL
VAP	Phuket Air - Thailand	PHUKET AIR
VAR	VIRTUALIROMA - Italy	VIRTUALIROMA
VAS	ATRAN Cargo Airlines - Russian Federation	ATRAN
VAT	Visionair - Ireland	VISIONAIR
VAV	Angkor Air - Cambodia	AIR ANGKOR
VAW	AirWeGo Group VA - United Kingdom	AIRWEGO
VAZ	Airlines 400 - Russia	REMONT AIR
VBA	V-Bird Virtual Airline - Netherlands	VEEBEE
VBC	AVB-2004 Ltd - Bulgaria	AIR VICTOR
VBD	V-Berd-Avia - Armenia	VEEBIRD-AVIA
VBG	North-West Air Transport Company - Vyborg - Russia	VYBORG AIR
VBI	Virgin Blue - Australia	BLUEY
VBP	Bruch-Piloten - Germany	VBP
VBR	Air Club Transportes Aereos Ltda - Viabrasil	VIABRASIL
VBS	Avbase Aviation, LLC. - United States of America	AVBASE
VBW	Air Burkina - Burkina Faso	BURKINA
VBX	Coast Air	Coast Air
VCA	VICA - Viacao Charter Aereos - Brazil	VICA
VCH	Consorcio Helitec - Venezuela	CONSORCIO HELITEC
VCI	CI-Tours - Ivory Coast	CI-TOURS
VCM	Volare Air Charter Company - United States	CARMEN
VCN	Execujet Charter - Switzerland	AVCON
VCO	Aviacion Colombiana Ltda. - Colombia	AVIACOL
VCR	Cruiser Linhas Aereas - Brazil	VOE CRUISER
VCT	Viscount Air Service - United States	VISCOUNT AIR
VCV	Conviasa - Venezuela	CONVIASA
VCX	Ocean Airlines - Italy	OCEANCARGO
VDA	Volga-Dnepr Airlines - Russia	VOLGA-DNEPR
VDO	Servicios Aereos Avandaro - Mexico	AVANDARO
VDR	Air Vardar - Macedonia	VARDAR
VEA	Vega Airlines - Bulgaria	VEGA AIRLINES
VEC	Venescar Internacional - Venezuela	VECAR
VEE	Victor Echo - Spain	VICTOR ECHO
VEG	Aerovega - Mexico	AEROVEGA
VEI	Virgin Express Ireland - Ireland	GREEN ISLE
VEJ	Aero Ejecutivos - Venezuela	VENEJECUTIV
VEL	Veraways Limited - Kenya	VERAWAYS
VEN	Transaven - Venezuela	TRANSAVEN AIRLINE
VER	Almaver - Mexico	ALMAVER
VES	Vieques Air Link - United States	VIEQUES
VEX	Virgin Express - Belgium	VIRGIN EXPRESS
VFA	FastAir Virtual Airlines - Colombia	FASTAIR
VFC	Vasco Air - Vietnam	VASCO AIR
VFR	Virtual VFR Flyig Club	VIRTUAL V F R
VFT	VZ Flights - Mexico	ZETA FLIGHTS
VGA	Air Vegas - United States	AIR VEGAS
VGC	Vanguardia en Aviacion en Colima - Mexico	VANGUARDIA COLIMA
VGD	Vanguard Airlines - United States	VANGUARD AIR
VGE	Air Service Vosges - France	AIR VOSGES
VGF	Aerovista Gulf Express - United Arab Emirates	VISTA GULF
VGG	Aviage - Equatorial Guinea	AVIAGE
VGN	Virgin Nigeria Airways - Nigeria	VIRGIN NIGERIA
VGS	Stichting Vliegschool 16Hoven - Netherlands	SMART
VGV	Vologda State Air Enterprise - Russia	VOLOGDA AIR
VHA	VH-Air Industrie - Angola	AIR V-H
VHM	VHM Schul-und-Charterflug - Germany	EARLY BIRD
VHR	Humanit'Air - France	HUMANITAIR
VHT	Corporate Flight International - United States	VEGAS HEAT
VIB	Vibroair Flugservice - Germany	VITUS
VIC	VIP Servicios Aereos Ejecutivos - Mexico	VIP-EJECUTIVO
VID	Aviaprad - Russia	AVIAPRAD
VIE	VIP Empresarial - Mexico	VIP EMPRESARIAL
VIF	VIF Luftahrt - Austria	VIENNA FLIGHT
VIG	Vega Aviation - Sudan	VEGA AVIATION
VIH	Vichi - Moldova	VICHI
VIK	Viking Airlines - Sweden	SWEDJET
VIL	Avia Airlines - Ghana	AVIALINER
VIM	Air VIA - Bulgaria	UNKNOWN
VIN	Vinair - Helicoptereos - Portugal	VINAIR
VIP	FREEWINGS	FREEWINGS
VIR	Virgin Atlantic Airways - United Kingdom	VIRGIN
VIS	Vision Air International - PK	DREAM BIRD
VIT	VatitAir - Italy	VATITA
VIV	Aeroenlaces Nacionales - Mexico	AEROENLACES
VIZ	Aerovis Airlines - Ukraine	AEROVIZ
VJE	Avjet International (FZE) - United Arab Emirates	UNKNOWN
VJG	Avioriprese Jet Executive S.p.A. - Italy	AVIORIPRESE
VJM	Viajes Ejecutivos Mexicanos - Mexico	VIAJES MEXICANOS
VJT	Vistajet - Canada	VISTA
VKA	Intercom Ltd. - Czech Republic	VIKTORKA
VKG	Mytravel Airways - Denmark	VIKING
VLA	Valan International Cargo Charter - South Africa	NALAU
VLE	Volare Airlines - Italy	VOLA
VLF	DFS UK Limited - United Kingdom	VOLANTE
VLG	Vueling Airlines - Spain	VUELING
VLI	Avolar Aerolineas - Mexico	AEROVOLAR
VLK	Vladivostok Air - Russia	VLADAIR
VLL	RAF Valley SAR Training Unit - United Kingdom	UNKNOWN
VLM	VLM Airlines - Belgium	RUBENS
VLN	Valan Limited - Moldova	VALAN
VLO	Varig Logï¿½stica - Brazil	VELOG
VLR	Aerolineas Villaverde - Mexico	VILLAVERDE
VLS	Aero Virel - Mexico	VIREL
VLT	Vertical-T Air Company - Russia	VERTICAL
VLU	Valuair - Singapore	VALUAIR
VLV	Avialift Vladivostok - Russia	VLADLIFT
VLX	Biz Jet Charter - United States	AVOLAR
VMA	Vero Monmouth Airlines - United States	VERO MONMOUTH
VME	Aviacion Comercial de America - Mexico	AVIAMERICA
VMM	Grupo Vuelos Mediterraneo - Spain	VUELOS MED
VMP	Execujet Scandinavia - Denmark	VAMPIRE
VMR	Aero Vilamoura - Portugal	AERO VILAMOURA
VMT	Varmontt Air Ltda - Chile	VARMONTT
VNA	Empresa Aviacion Interamericana - Uruguay	EBBA
VNC	Intervuelos Nacionales - MX	VUELOS NACIONALES
VND	Aviandina S.A.C. - Peru	AVIANDINA
VNE	Empresa Venezolana - Venezuela	VENEZOLANA
VNG	Aero Servicios Vanguardia - Mexico	VANGUARDIA
VNK	Vipport Joint Stock Company - Russia	UNKNOWN
VNR	Avantair - US	AVANTAIR
VNS	Aerovena - MX	AEROVENA
VNT	Avient Air Zambia - Zambia	AVIENT
VNZ	Tbilaviamsheni - Georgia	TBILAVIA
VOA	Viaggio Air - Bulgaria	VIAGGIO
VOG	Voyager Airlines - Bangladesh	VOYAGER AIR
VOI	Concesionaria Vuela Compania de Aviacion - Mexico	VUELA AVIACION
VOL	Blue Chip Jet - Sweden	BLUE SPEED
VOS	Rovos Air - South Africa	ROVOS
VOZ	Virgin Blue - Australia	VIRGIN
VPA	Virtual Pilots Association - World	FREEWINGS
VPB	Veteran Air - Ukraine	VETERAN
VPP	Vintage Props and Jets - US	VINTAGE
VPV	VIP-Avia - Georgia	VIP AVIA
VRA	Vertair - United Kingdom	VERITAIR
VRB	Silverback Cargo Freighters - Rwanda	SILVERBACK
VRC	Taxi de Veracruz - Mexico	VERACRUZ
VRD	Virgin America - United States	REDWOOD
VRE	Volare Airlines - Ukraine	UKRAINE VOLARE
VRG	Varig S.A. (Viacao Aerea Rio-Grandense) - Brazil	VARIG
VRI	Aerotaxi Villa Rica - Mexico	VILLARICA
VRL	Voar Lda - Angola	VOAR LINHAS
VRN	VRG Linhas Aereas - Brazil	VARIG
VRO	Aerovitro - Mexico	AEROVITRO
VRS	Sirvair - Mexico	VAIRSA
VRT	Averitt Air Charter - United States	AVERITT
VSA	Avstar Aviation - South Africa	STARBIRD
VSB	Vickers Limited - United Kingdom	VICKERS
VSC	AVESCA - Colombia	AVESCA
VSE	Vuelos Asesorias Y Representaciones, S.A. de C.V. - Mexico	VASRE
VSG	Visig Operaciones Aereas - Spain	VISIG
VSK	Skyven Cielos de Venezuela, S.A. - Venezuela	SKYVEN
VSN	Vision Airways Corporation - Canada	VISION
VSO	Voronezh Aircraft Manufacturing Society - Russia	VASO
VSP	VASP - Brazil	VASP
VSR	Aviostart AS - Bulgaria	AVIOSTART
VSS	Virign Islands Seaplane Shuttle - United States	WATERBIRD
VST	Vesta - Kazakhstan	SOKUR
VSU	Aerolinea Aviasur, C.A. - Venezuela	VENAVIA
VSV	Scat Air - Kazakhstan	VLASTA
VTA	Air Tahiti - French Polynesia	AIR TAHITI
VTC	Vuelos Especializados Tollocan - Mexico	VUELOS TOLLOCAN
VTE	Corporate Flight Management - United States	VOLUNTEER
VTG	Aviacao Transportes Aereos e Cargas - Angola	ATACARGO
VTH	Vuelos Corporativos de Tehuacan - Mexico	VUELOS TEHUACAN
VTI	Avirciti Ltd, Joint Venture - Ukraine	AVIRCITI
VTK	Vostok Airlines - Russia	VOSTOK
VTL	Victor Tagle Larrain - Chile	VITALA
VTM	Aeronaves TSM - Mexico	AERONAVES TSM
VTS	Everts Air Alaska/Everts Air Cargo - United States	EVERTS
VTT	Avia Trans Air Transport - Sudan	VIATRANSPORT
VTU	Avanty - Ukraine	AGROAVANTY
VTV	Vointeh - Bulgaria	VOINTEH
VTX	Verataxis - Mexico	VERATAXIS
VTY	Air Midwest - Nigeria	VICTORY
VUE	AD Aviation - United Kingdom	FLIGHTVUE
VUL	Elios - Italy	ELIOS
VUN	Air Ivoire - Ivory Coast	AIRIVOIRE
VUO	Aerovuelox - Mexico	AEROVUELOX
VUR	Vuelos Internos Privados VIP - Ecuador	VIPEC
VUS	Vuela Bus - Mexico	VUELA BUS
VVA	Aviast Air - Russia	IALSI
VVF	Dunyaya Bakis Hava Tasimaciligi - Turkey	WORLDFOCUS
VVG	Aerovilla - Colombia	AEROVILLA
VVM	Viva Macau - Macao	JACKPOT
VVS	AEROVAL - Switzerland	VVS
VXG	Avirex - Gabon	AVIREX-GABON
VXN	Sunset Aviation - United States	VIXEN
VXP	Mali Air Express - Mali	AVION EXPRESS
VXX	Aviaexpress Aircompany - Ukraine	EXPRESSAVIA
VYT	RAF Valley Flying Training Unit - United Kingdom	ANGLESEY
VZA	Air Venezuela, Linea de Transporte Aereo Lta., C.A. - Venezu	AIR VENEZUELA
VZL	Vzlyet - Russia	VZLYET
VZR	Aviazur - France	IAZUR
WAA	Westair Aviation - Namibia	WESTAIR WINGS
WAB	Aero Industries Inc - United States	WABASH
WAC	West African Cargo Airlines - Mauritania	WESTAF CARGO
WAD	Waddington FTU - United Kingdom	VULCAN
WAE	Western Air Express - United States	WESTERN EXPRESS
WAF	Flamenco Airways - United States	FLAMENCO
WAG	Wisconsin Air National Guard - United States	UNKNOWN
WAI	Wings Air - US	BUSHWOOD
WAK	Wings of Alaska - United States	WINGS ALASKA
WAL	Western Arctic Air - Canada	WESTERN ARCTIC
WAM	Air Taxi & Cargo - Sudan	TAXI CARGO
WAN	Wane Aviation Ltd. - Kenya	WANE KENYA
WAP	Arrow Panama - Panama	ARROW PANAMA
WAR	NZ Warbirds Association - New Zealand	WARBIRDS
WAS	Walsten Air Services - Canada	WALSTEN
WAT	Wings Air Transport - Sudan	UNKNOWN
WAV	Warbelow's Air Ventures - United States	WARBELOW
WAW	Wings Airways - United States	WING SHUTTLE
WAY	Airways - France	GARONNE
WBA	WildBlue Airlines - USA	WILDBLUE
WBR	Multi-Aero - United States	WEBER
WCA	West Coast Airways - Sierra Leone	WEST-LEONE
WCB	West Africa Airlines - Ghana	KILO YANKEE
WCC	Sport Air Travel - United States	WEST COAST
WCG	West Coast Airlines - Ghana	WHISKY INDIA
WCO	Columbia Helicopters - United States	COLUMBIA HELI
WCP	Primaris Airlines - United States	WHITECAP
WCR	West Caribbean Costa Rica - Costa Rica	WEST CARIBBEAN
WCT	Unknown - USA	WILDCAT
WCW	West Caribbean Airways - Colombia	UNKNOWN
WCY	Viking Express - United States	TITAN AIR
WDA	Wimbi Dira Airways - Democratic Republic of Congo	WIMBI DIRA
WDG	Ministry of Agriculture, Fisheries and Food - United Kingdom	WATCHDOG
WDK	Oxford Air Services - United Kingdom	WOODSTOCK
WDL	WDL Aviation - Germany	WDL
WDR	Air Net Private Charter - United States	WIND RIDER
WDS	Four Winds Aviation - United States	WINDS
WDY	Chicago Express - United States	WINDY CITY
WEA	White Eagle Aviation - Poland	WHITE EAGLE
WEB	WebJet Linhas Aï¿½reas - Brazil	WEB-BRASIL
WEC	Universal Airlines - United States	AIRGO
WEL	Veles, Ukrainian Aviation Company - Ukraine	VELES
WES	Western Express Air Lines - Canada	WEST EX
WEU	Washington Airways Europe - USA	GROLSCH
WEV	Victoria International Airways - Uganda	VICTORIA UGANDA
WEW	West Wind Aviation - Canada	WESTWIND
WEX	Wings Express - United States	WINGS EXPRESS
WFA	Westflug Aachen Luftfahfitgesellschaft mbH - Germany	WESTFLUG
WFC	Swift Copters - Switzerland	SWIFTCOPTERS
WFD	BAE Systems - United Kingdom	AVRO
WFO	Wilbur's Flight Operations - United States	WILBURS
WGA	Vega Air Company - Ukraine	WEGA FRANKO
WGP	Williams Grand Prix Engineering - United Kingdom	GRAND PRIX
WGS	Airwings oy - Finland	AIRWINGS
WGT	Lion Air Services - United Kingdom	WORLDGATE
WHE	Westland Helicopters - United Kingdom	WESTLAND
WHR	Hummingbird Helicopter Service - United States	WHIRLEYBIRD
WHS	Wiking Helikopter Service - Germany	WEEKING
WHT	White - Portugal	YOUNG SKY
WHY	Air Sorel - Canada	AIR SOREL
WIA	Windward Islands Airways International - Netherland	WINDWARD
WIF	Widerï¿½e - Norway	WIDEROE
WIG	Wiggins Airways - United States	WIGGINS AIRWAYS
WIL	Aero Air - United States	WILLIAMETTE
WIN	Winlink - Saint Lucia	WINLINK
WIS	Paccair - United States	WISCAIR
WIT	Wittering FTU - United Kingdom	STRIKER
WIW	V-avia Airline - Ukraine	VEE-AVIA
WIZ	Micromatter Technology Solutions - United Kingdom	WIZARD
WJA	WestJet - Canada	WESTJET
WKC	Western Kenya Aircharters Co. Ltd. - Kenya	MUSHROOM
WKD	Weekender	WEEKEND AIR
WKH	Kharkov Aircraft Manufacturing Company - Ukraine	WEST-KHARKOV
WKT	Wojewodzka Kolumna Transportu Sanitarnego - Poland	WOKTRANS
WLA	Airwaves Airlink - Zambia	AIRLIMITED
WLB	Wings of Lebanon Aviation - Lebanon	WING LEBANON
WLC	Welcome Air - Austria	WELCOMEAIR
WLG	Volga Aviaexpress - Russia	GOUMRAK
WLI	Airecon Oy - FI	WINGLINE
WLK	Skyrover CC - South Africa	SKYWATCH
WLR	Air Walser - Italy	AIRWALSER
WLS	Williams Air - United States	WILLIAMS AIR
WLT	Aviation Partners - United States	WINGLET
WLV	Aviation North - United States	WOLVERINE
WLX	West Air Luxembourg - Luxembourg	WEST LUX
WML	Chantilly Air - United States	MARLIN
WNA	Winair - United States	WINAIR
WNC	Wenic Air Services - Singapore	WENIC
WND	Caribbean Winds Airways, Inc. - Antigua and Barbuda	WINDY
WNR	Wondair on Demand Aviation - Spain	WONDAIR
WOA	World Airways - United States	WORLD
WOH	Holiday	Holiday
WOK	Kovar Air - Czech Republic	WOKAIR
WOL	Wings Aviation - Guyana	WINGJET
WON	Wings Air - Indonesia	WINGS ABADI
WOW	Air Southwest - United Kingdom	SWALLOW
WPA	Western Pacific Airservice - Solomon Islands	WESTPAC
WPK	Air-Lift Associates - United States	WOLFPACK
WPR	Auckland Regional Rescue Helicopter Trust - New Zealand	WESTPAC RESCUE
WPT	Wapiti Aviation - Canada	WAPITI
WRA	White River Air Services - Canada	UNKNOWN
WRF	Wright Air Service - United States	WRIGHT FLYER
WRR	WRA Inc - United States	WRAP AIR
WRT	Wright Air Lines - United States	WRIGHT-AIR
WSA	Westgates Airlines - United States	WESTATES
WSC	Westair Cargo Airlines - Cote d'Ivoire	WESTCAR
WSF	West African Airlines - Benin	UNKNOWN
WSG	Wasaya Airways - Canada	WASAYA
WSI	Wind Spirit Air - United States	WIND SPIRIT
WSL	Westflight Aviation - United Kingdom	WEST LINE
WSM	Wisman Aviation - United States	WISMAN
WSP	WorldSpan - US	WORLDSPAN
WSR	Canadian Helicopters - Canada	WHISTLER
WSS	Vilga-Aviaservice - Kazakhstan	VILGA-SERVICE
WST	Western Air - Bahamas	WESTERN BAHAMAS
WTA	World Travel Airline - Germany	TRAVEL AIR
WTC	Weasua Air Transport Company - Liberia	WATCO
WTF	West African Air Transport - Senegal	WESTAF AIRTRANS
WTN	BAE Systems - United Kingdom	TARNISH
WTP	Westpoint Air - Canada	WESTPOINT
WTV	Western Aviators - United States	WESTAVIA
WVA	Hand D Aviation - United States	WABASH VALLEY
WVL	Wizz Air - Bulgaria	WIZZBUL
WWA	WestWind Airlines	WESTWIND
WWD	Westward Airways - United States	WESTWARD
WWI	Worldwide Jet Charter - United States	WORLDWIDE
WWL	Whyalla Airlines - Australia	UNKNOWN
WWM	World Wing Aviation - Kyrgyzstan	MANAS WING
WWS	Worldwide Aviation Services - Pakistan	UNKNOWN
WYC	Wycombe Air Centre - United Kingdom	WYCOMBE
WYG	Wyoming Airlines - United States	WYOMING
WYT	2 Sqn No 1 Elementary Flying Training School - United Kingdom	UNKNOWN
WZP	Zip - Canada	ZIPPER
WZZ	Wizz Air Hungary - Hungary	WIZZAIR
XAA	Aeronautical Radio Inc - United States	UNKNOWN
XAB	Xabre Aerolineas - Mexico	AERO XABRE
XAC	Air Charter World - United States	UNKNOWN
XAD	Certified Air Dispatch - United States	UNKNOWN
XAF	Executive Air Fleet - United States	UNKNOWN
XAH	Executive Aircraft Services - United Kingdom	UNKNOWN
XAK	Airkenya - Kenya	SUNEXPRESS
XAM	AMR Services Corporation - United States	ALLIANCE
XAO	Airline Operations Services - United States	UNKNOWN
XAP	Direct Air trading as Midway Connection - United States	MID-TOWN
XAR	Travel Express Aviation Services - Indonesia	TRAVEL EXPRESS
XAS	PHH Aviation System - United States	UNKNOWN
XAT	AT and T Aviation Division - United States	UNKNOWN
XAV	Aviaprom Enterprises - Russia	AVIAPROM
XAX	Airx Limited t/a Lecocqs.com - United Kingdom	BLUE ISLAND
XBG	City of Bangor - United States	UNKNOWN
XBO	Baseops International - United States	UNKNOWN
XCC	Ecoturistica de Xcalak - Mexico	XCALAK
XCL	Contel ASC - United States	UNKNOWN
XCO	Compuflight Operations Service - United States	UNKNOWN
XCS	Compuserve Incorporated - United States	UNKNOWN
XCT	Aero Costa Taxi Aereo - Mexico	AEROCOSTAXI
XCX	Citibank - United States	UNKNOWN
XDA	Bureau Veritas - France	UNKNOWN
XDD	Lockheed DUATS - United States	UNKNOWN
XDS	Dispatch Services - United States	UNKNOWN
XDT	Date Transformation Corp - United States	UNKNOWN
XDY	Dynair Services - United States	UNKNOWN
XEC	Air Executive Charter - Germany	UNKNOWN
XEL	Excel Charter - United Kingdom	HELI EXCEL
XER	Xerox Corporation - United States	XEROX
XFA	FlyAsianXpress - Malaysia	FAX AIR
XFL	Executive Fliteways - US	EX-FLIGHT
XFS	American Flight Service Systems - United States	UNKNOWN
XFX	Airways Corporation of New Zealand - New Zealand	AIRCORP
XGA	General Aviation Terminal - Canada	UNKNOWN
XGG	IMP Group Aviation Services - Canada	UNKNOWN
XGO	Airgo Flugservice - DE	UNKNOWN
XGS	Global System - United States	UNKNOWN
XGW	Global Weather Dynamics - United States	UNKNOWN
XIA	Irving Oil - Canada	UNKNOWN
XJA	Assistance Aeroportuaire de L'Aeroport de Paris - France	UNKNOWN
XJC	Xclusive Jet Charter Limited - United Kingdom	EXCLUSIVE JET
XJT	Xjet Limited - United Kingdom	XRAY
XKA	Kavouras Inc - United States	UNKNOWN
XKX	ASECNA - France	UNKNOWN
XLA	Excel Airways - United Kingdom	EXPO
XLB	Aircraft Performance Group - United States	UNKNOWN
XLD	Jeppesen Data Plan - United States	UNKNOWN
XLF	XL Airways France - FR	STARWAY
XLG	Lockheed Air Terminal - United States	UNKNOWN
XLI	Exclusive Airlines - Poland	X-LINE
XLK	Safarilink Aviation - Kenya	SAFARILINK
XLL	Air Excel - Tanzania	TINGA-TINGA
XLT	Empressa Brasileira de Infra-Estrutura Aeroportuaria-Infraero - Brazil	INFRAERO
XMA	Martin Aviation Services - United States	UNKNOWN
